country,year,gdp_growth,gdp_total_bln,fdi_inflows_bln,export_volume_bln,import_volume_bln,unemployment_rate,inflation_rate
Vietnam,2007,7.1,86.0,6.7,48.6,62.8,2.0,8.3
Vietnam,2008,5.7,105.8,9.6,62.7,80.7,2.0,23.1
Vietnam,2009,5.4,106.0,7.6,57.1,69.9,1.7,6.7
Vietnam,2010,6.4,115.9,8.0,72.2,84.8,1.1,9.2
Vietnam,2011,6.2,135.5,7.4,96.9,106.7,1.0,18.7
Vietnam,2012,5.5,155.8,8.4,114.5,113.8,1.0,9.1
Vietnam,2013,5.4,171.2,8.9,132.0,131.3,1.3,6.6
Vietnam,2014,6.0,186.2,9.2,150.2,147.8,1.2,4.1
Vietnam,2015,7.0,193.3,11.8,162.0,165.7,2.3,0.6
Vietnam,2016,6.2,205.3,12.6,176.6,174.8,2.3,2.7
Vietnam,2017,6.8,223.7,14.1,214.0,211.1,2.2,3.5
Vietnam,2018,7.1,245.2,15.5,243.5,236.7,2.2,3.5
Vietnam,2019,7.0,261.9,16.1,264.3,253.4,2.2,2.8
Vietnam,2020,2.9,343.1,15.8,282.6,262.7,2.4,3.2
Vietnam,2021,2.6,366.1,15.7,336.3,332.2,3.2,1.8
Vietnam,2022,8.0,408.8,17.9,371.8,358.9,2.3,3.2
Vietnam,2023,5.0,430.0,16.5,355.0,327.0,2.2,3.2
Taiwan,2000,6.3,331.4,4.9,150.6,140.0,3.0,1.3
Taiwan,2001,-1.2,299.3,4.1,122.9,107.2,4.6,-0.0
Taiwan,2002,4.6,307.4,1.4,132.8,112.5,5.2,-0.2
Taiwan,2003,3.6,317.4,0.4,150.6,127.2,5.0,-0.3
Taiwan,2004,6.5,346.9,1.9,182.3,168.0,4.4,1.6
Taiwan,2005,5.4,374.0,1.6,198.3,182.5,4.1,2.3
Taiwan,2006,5.8,386.4,7.4,223.8,202.8,3.9,0.6
Taiwan,2007,6.9,406.9,7.7,246.7,219.2,3.9,1.8
Taiwan,2008,0.8,415.9,5.4,255.6,240.4,4.1,3.5
Taiwan,2009,-1.6,390.8,1.5,203.7,174.4,5.8,-0.9
Taiwan,2010,10.2,444.3,2.5,274.6,251.2,5.2,1.0
Taiwan,2011,3.8,483.9,-2.0,308.3,281.4,4.4,1.4
Taiwan,2012,2.2,495.6,4.7,301.1,270.5,4.2,1.9
Taiwan,2013,2.5,512.9,3.8,305.4,270.0,4.2,0.8
Taiwan,2014,4.7,530.5,2.8,313.8,274.0,4.0,1.2
Taiwan,2015,0.9,534.5,4.8,285.3,237.2,3.8,-0.3
Taiwan,2016,2.2,543.0,11.0,280.4,230.5,3.9,1.4
Taiwan,2017,3.3,590.7,7.5,317.2,259.4,3.8,0.6
Taiwan,2018,2.8,609.1,7.1,336.0,286.3,3.7,1.4
Taiwan,2019,3.1,611.3,8.2,329.2,285.8,3.7,0.6
Taiwan,2020,3.4,673.1,9.1,345.2,286.7,3.8,-0.2
Taiwan,2021,6.5,774.3,5.1,446.4,381.5,4.0,2.0
Taiwan,2022,2.4,761.5,13.1,479.4,428.0,3.7,2.9
Taiwan,2023,1.2,750.0,10.0,432.0,351.0,3.5,2.5
