country,year,fdi_bln,unemployment_rate,inflation_rate,gov_debt_pct,tech_exports_bln,analyst_note
China,2017,769.33,4.18,-0.73,83.93,595.16, stable_growth 
China,2018,780.24,3.32,5.56,76.07,641.71, steady 
China,2019,887.16,1.18,4.48,79.45,693.93,CRISIS_watch
China,2020,954.08,2.36,1.74,76.7,759.87,CRISIS_watch
China,2021,1027.51,5.15,3.56,93.31,827.82, steady 
China,2022,1035.5,1.88,1.99,91.57,878.38,NA
China,2023,1143.85,4.27,5.65,90.84,956.53, stable_growth 
China,2024,1203.65,4.94,3.29,100.99,1024.67, stable_growth 
China,2025,1308.06,4.74,3.29,86.51,1087.62,NA
South Korea,1980,25.33,6.22,2.82,27.82,4.86, stable_growth 
South Korea,1981,19.58,3.3,6.03,30.68,11.56, steady 
South Korea,1982,33.38,3.81,2.1,34.88,10.84, stable_growth 
South Korea,1983,32.62,4.63,4.84,29.97,11.42,recession Warning
South Korea,1984,51.26,5.41,4.48,32.45,13.09, stable_growth 
South Korea,1985,47.05,3.38,6.38,29.28,17.76, steady 
South Korea,1986,49.84,4,-0.82,36.88,17.12, steady 
South Korea,1987,56.85,3.23,5.56,33.71,17.78, steady 
South Korea,1988,61.08,4.21,2.07,46.11,21.46,NA
South Korea,1989,71.74,4.6,1.59,41.02,26.51, steady 
South Korea,1990,60.48,3.8,4.2,29.84,21.09,CRISIS_watch
South Korea,1991,70.02,4.5,-0.07,45.45,29.27, stable_growth 
South Korea,1992,73.46,3.31,3.63,41.86,31.5,recession Warning
South Korea,1993,83.74,1.54,3.51,45.7,33.17, steady 
South Korea,1994,83.62,2.14,-0.2,47.94,33.59,CRISIS_watch
South Korea,1995,98.38,6.16,2.83,50.93,36.55, steady 
South Korea,1996,99.71,5.57,1.32,45.72,5.98, stable_growth 
South Korea,1997,117.29,7.47,3.4,54.67,3.84, stable_growth 
South Korea,1998,125.85,7.22,0.97,54.65,22.39, stable_growth 
South Korea,1999,111.86,6.21,1.46,59.38,30.63, stable_growth 
South Korea,2000,129.76,3.58,3.04,62.05,45.42, steady 
South Korea,2001,132.42,3.03,-1.16,48.19,54.75,CRISIS_watch
South Korea,2002,152.25,2.71,4.3,57.42,64.87,NA
South Korea,2003,120.03,4.64,1.58,69.5,93.9, stable_growth 
South Korea,2004,151.06,1.24,NA,52.79,105.47, stable_growth 
South Korea,2005,139.72,4.94,-1.71,64.5,124.78, steady 
South Korea,2006,163.76,3.03,1.23,59.77,158.07,NA
South Korea,2007,145.98,5.24,3.24,68.04,178.35, steady 
South Korea,2008,158.12,5.91,6.45,63.49,216.67, steady 
South Korea,2009,156.3,3.13,2.17,71.87,251.76, steady 
South Korea,2010,172.43,4.88,4.48,63.73,289.13, steady 
South Korea,2011,187.18,4.19,4.86,68.66,324.64, stable_growth 
South Korea,2012,170.2,2.41,4.59,70.85,353.74, steady 
South Korea,2013,190.6,3.54,NA,79.05,401.35, steady 
South Korea,2014,197.2,2.73,6.81,69.14,448.83, stable_growth 
South Korea,2015,177.23,3.95,8.48,84.24,487, stable_growth 
South Korea,2016,202.24,5.52,4.89,76.87,538.89, steady 
South Korea,2017,193.6,3.94,5.62,77.9,597.93, stable_growth 
South Korea,2018,223.77,3.93,3.55,74.19,644.76, stable_growth 
South Korea,2019,232.8,4.44,2.65,90.25,702.14, stable_growth 
South Korea,2020,222.94,5.31,3.85,83.17,760.97,recession Warning
South Korea,2021,215.68,2.28,7.91,86.27,821.9, steady 
South Korea,2022,236.36,3.39,3.15,92.76,890.76,recession Warning
South Korea,2023,226.64,1.32,4.44,85.07,949.35, steady 
South Korea,2024,229.8,4.94,-2.35,98.77,1020.17,NA
South Korea,2025,246.61,2.72,7.95,93.12,1096.08,recession Warning
United States,1980,68.51,3.23,4.82,23.71,7.93, steady 
United States,1981,113.38,5.9,5.32,25.63,6.29, steady 
United States,1982,93.74,2.27,1.89,26.71,11.28, steady 
United States,1983,116.31,3.01,5.36,31.88,10.22,CRISIS_watch
United States,1984,150.82,3.57,0.35,34.02,12.08,NA
United States,1985,160.54,3.35,4.58,27.35,15.72,NA
United States,1986,123.89,3.68,2.8,31.19,20.48, steady 
United States,1987,198.49,4.21,6.51,29.97,20.17,NA
United States,1988,189.27,4.84,4.62,44.37,17.83,recession Warning
United States,1989,194.88,4.87,3.33,41.68,21.01, steady 
United States,1990,259.83,0.9,1.8,39.2,24.08, steady 
United States,1991,217.95,3.9,-0.52,41.59,25.45, steady 
United States,1992,203.8,3.57,2.36,51.33,30.51, stable_growth 
United States,1993,305.96,2.77,3.61,41.7,33.76, stable_growth 
United States,1994,284.17,3.49,5.22,48.23,32.17, steady 
United States,1995,309.98,4.9,7.18,44.23,36.22, steady 
United States,1996,302.24,5.05,0.26,47.84,32.13, stable_growth 
United States,1997,272.24,4.09,3.13,51.47,37.91,CRISIS_watch
United States,1998,314.75,2.73,-0.8,43.32,42.28, steady 
United States,1999,289.22,3.69,8.32,46.44,42.56, steady 
United States,2000,313.18,4.12,-3.62,53.67,44.98,NA
United States,2001,368.26,3.82,2.04,74.25,43.99, stable_growth 
United States,2002,393.09,3.34,1.2,73.49,52.86,recession Warning
United States,2003,368.65,4.68,2.28,77.16,47.76,NA
United States,2004,413.81,6.73,2.19,74.18,49.36, stable_growth 
United States,2005,379.72,3.03,NA,78.26,58.46,CRISIS_watch
United States,2006,397,7.3,3.27,95.66,56.2, steady 
United States,2007,478.96,3.49,5.18,85.73,56.26, stable_growth 
United States,2008,426.12,8.51,NA,91.71,60.85,recession Warning
United States,2009,455.84,7.79,4.42,94.07,61.89, stable_growth 
United States,2010,426.64,10.12,NA,90.57,61.31, steady 
United States,2011,503.87,1.23,4.42,99.91,67.42,NA
United States,2012,490.15,4.01,3.45,103.78,67.69,CRISIS_watch
United States,2013,435.27,3.06,-5.19,104.54,69.96, steady 
United States,2014,544.82,6.12,-2.88,109.21,70.16, steady 
United States,2015,555.86,4.29,NA,104.93,73.1, stable_growth 
United States,2016,555.18,2.97,NA,112,80, stable_growth 
United States,2017,501.71,3.54,3.58,117.25,78.4, steady 
United States,2018,543.03,4.07,6.06,118.06,80.29,CRISIS_watch
United States,2019,554.73,3.05,1.13,126.06,83.87, stable_growth 
United States,2020,620.47,9.63,5.01,130.45,84.85, stable_growth 
United States,2021,559.76,4.8,6.96,129.59,86.94, steady 
United States,2022,593.95,5.34,-0.48,130.67,89.64, steady 
United States,2023,638.52,5.47,0.15,143.25,92.64, stable_growth 
United States,2024,687.92,5.88,NA,140.76,95.19, stable_growth 
United States,2025,693.76,4.31,0.18,144.56,95.87, steady 
Japan,1980,36.89,5.86,7.2,65.6,4.82, stable_growth 
Japan,1981,36.79,1,-2.01,62.29,12.32, stable_growth 
Japan,1982,26.11,7.75,3.91,68.38,2.42, steady 
Japan,1983,24.27,3.86,-2.19,77.06,8.6, stable_growth 
Japan,1984,36.05,6.3,3.98,69.98,11.24,NA
Japan,1985,36.55,5.14,0.08,75.84,14.9, steady 
Japan,1986,43.44,4.83,2.98,90.15,14.92,recession Warning
Japan,1987,29.93,5.33,NA,90.85,16.21, stable_growth 
Japan,1988,61.68,5.44,NA,96.44,20.19, steady 
Japan,1989,77.16,4.78,0.4,108.47,21.41, stable_growth 
Japan,1990,72.55,5.1,2.8,103.56,22.52, stable_growth 
Japan,1991,91.19,1.58,1.53,103.05,25.44, steady 
Japan,1992,79.96,5.29,NA,105.06,28.57,NA
Japan,1993,88.15,1.9,3.21,111.55,34, steady 
Japan,1994,91.65,4.33,-3.2,120.58,32.92, stable_growth 
Japan,1995,87.87,5.58,3.24,122.78,34.83, steady 
Japan,1996,87.23,5.4,7.03,121.44,37.95,CRISIS_watch
Japan,1997,115.68,3.35,3.6,129.96,39.84, stable_growth 
Japan,1998,101.97,4.82,5.1,124.08,42.37, steady 
Japan,1999,106.57,4.09,0.29,134.79,39.29, stable_growth 
Japan,2000,134.35,4.23,0.12,139.33,46.64, steady 
Japan,2001,115.23,4.19,-2.12,148.82,44.17, stable_growth 
Japan,2002,132.84,3.75,-2.17,137.18,48.88, stable_growth 
Japan,2003,138.13,5.53,4.69,154.24,53.42,NA
Japan,2004,155.22,4.26,-0.32,154.52,53.05,CRISIS_watch
Japan,2005,136.88,5.03,4.14,151.08,54.54, steady 
Japan,2006,150.51,4.12,4.71,162.4,55.51,NA
Japan,2007,150.12,3.07,0.07,169.91,60.24,recession Warning
Japan,2008,146.61,5.03,0.95,166.32,59.55, stable_growth 
Japan,2009,155.64,1.69,-0.16,181.44,65.69, steady 
Japan,2010,161.25,4.38,0.38,177.56,62.92, steady 
Japan,2011,166.68,4.58,3.73,183.98,65.87, stable_growth 
Japan,2012,177.87,6.17,2.88,184.32,68.89, steady 
Japan,2013,183.52,4.97,6.98,187.77,70.53, steady 
Japan,2014,189.24,3.97,4.77,195.78,74.95, stable_growth 
Japan,2015,188.78,2.71,6.42,194.78,72.38,NA
Japan,2016,204.54,3.54,1.41,204.85,77.69, stable_growth 
Japan,2017,216.35,3.06,4.82,211.06,76.86, stable_growth 
Japan,2018,197.11,6.77,1.2,211.3,80.16, steady 
Japan,2019,216.37,1.02,-0.08,224.53,84, stable_growth 
Japan,2020,218.36,4.4,3.95,221.93,85.92,CRISIS_watch
Japan,2021,224.81,6.46,-0.76,216.53,85.44,recession Warning
Japan,2022,227.85,4.79,1.93,224.22,87.14, stable_growth 
Japan,2023,245.5,3.69,4.6,221.03,90.93, steady 
Japan,2024,222.19,3.26,2.36,240.15,89.81, steady 
Japan,2025,242.68,2.42,4.36,239.53,94.24, stable_growth 
Taiwan,1980,25.85,4.82,-0.97,27.87,1.19, stable_growth 
Taiwan,1981,21.22,3.58,5.68,26.84,10.29, stable_growth 
Taiwan,1982,27.69,3.69,4.98,29.25,9.21, steady 
Taiwan,1983,25.78,7.33,2.82,27.11,11.12,recession Warning
Taiwan,1984,33.95,3.34,0.21,31.91,12.34, steady 
Taiwan,1985,45.64,3.7,2.57,41.69,14.57,recession Warning
Taiwan,1986,43.41,0.81,2.63,37.06,16.37, stable_growth 
Taiwan,1987,44.46,3.91,2.13,27.16,17.43, steady 
Taiwan,1988,44.67,4.71,-1.01,42.36,18.1, steady 
Taiwan,1989,69.07,2.85,5.7,38.54,22.64,NA
Taiwan,1990,73.52,5.68,4.21,38.56,25.08,CRISIS_watch
Taiwan,1991,57.69,5.3,4.37,44.72,27.47,recession Warning
Taiwan,1992,78.11,2.1,0.35,41.42,33.79, steady 
Taiwan,1993,71,2.61,4.02,38.29,32.86,NA
Taiwan,1994,91.77,5.18,2.31,34.74,33.34, steady 
Taiwan,1995,99.53,3.92,NA,45.91,30.34, stable_growth 
Taiwan,1996,91.47,5.03,2.98,48.67,13.42,CRISIS_watch
Taiwan,1997,114.27,3.45,-1.39,52.37,16.59, stable_growth 
Taiwan,1998,110.28,2.19,0.09,56.82,26.04, stable_growth 
Taiwan,1999,118.56,4.39,5.33,57.07,32.28, stable_growth 
Taiwan,2000,132.74,2.14,1.14,59,38.53, stable_growth 
Taiwan,2001,120.87,4.51,2.76,50.51,53.95, steady 
Taiwan,2002,126.89,5.83,3.37,48.95,60.42, steady 
Taiwan,2003,141.76,4.36,4.57,62.68,88.91, stable_growth 
Taiwan,2004,148.51,4.44,0.95,68.96,107.21,NA
Taiwan,2005,147.72,4.67,3.4,60.38,136.11,recession Warning
Taiwan,2006,150.42,2.89,2.04,68.08,150.42, stable_growth 
Taiwan,2007,153.31,5.25,6.35,67.87,186.5, steady 
Taiwan,2008,175.88,6.54,2.13,68.6,216.5, stable_growth 
Taiwan,2009,178.97,2.43,3.06,64.64,255.21,CRISIS_watch
Taiwan,2010,159.54,4.36,-1.36,72.96,276.36, stable_growth 
Taiwan,2011,176.17,5.11,3.26,80.35,318.47,recession Warning
Taiwan,2012,181.06,5.89,-1.45,79.18,362.36,NA
Taiwan,2013,184.32,4.02,NA,78.44,402.62, steady 
Taiwan,2014,186.85,5.47,5.63,85.63,445.63, steady 
Taiwan,2015,199.83,1.46,5.89,75.45,489,CRISIS_watch
Taiwan,2016,205.12,5.45,0.72,78.24,534.49, steady 
Taiwan,2017,195.52,4.79,0.2,87.2,597.32, steady 
Taiwan,2018,217.7,3.95,7.37,88.44,637.28,CRISIS_watch
Taiwan,2019,218.09,3.69,1.7,83.58,699.82, stable_growth 
Taiwan,2020,223.06,4.82,-2.83,88.07,756.08, stable_growth 
Taiwan,2021,222.48,5.48,1.59,82.86,823.3, stable_growth 
Taiwan,2022,231.19,2.76,3.27,87.32,885.3,recession Warning
Taiwan,2023,219.7,3.6,2.77,82.75,957.1,recession Warning
Taiwan,2024,245.25,3.82,5.1,92.89,1015, steady 
Taiwan,2025,253.64,4.39,-0.82,89.58,1092.16, steady 
