country,year,gdp_growth_pct,export_vol_bln,interest_rate,housing_price_idx
South Korea,2018,4.44,729.48,1.72,164.93
South Korea,2019,3.09,743.96,1.15,175.81
South Korea,2020,3.11,751.06,2.51,177.03
South Korea,2021,6.09,777.69,2.9,177.4
South Korea,2022,3.41,780.25,3.04,177.93
South Korea,2023,2.69,802.92,2.18,180.21
United States,1973,2.91,144.77,9.41,27.75
United States,1974,1.46,178.53,8.62,21.96
United States,1975,4.72,225.08,8.7,31.98
United States,1976,1.58,286.85,4.83,45.5
United States,1977,0.08,300.91,8.43,38.48
United States,1978,3.1,346.84,7.77,39.71
United States,1979,3.5,377.58,8.04,51.38
United States,1980,3.92,402.03,9.79,56.58
United States,1981,1.08,448.42,10.9,68.45
United States,1982,2.13,467.23,7.5,58.82
United States,1983,0.51,480.01,6.81,63.87
United States,1984,3.77,546.95,7.5,78.55
United States,1985,3.02,529.44,9.55,72.63
United States,1986,3.87,590.28,7.76,81.03
United States,1987,3.41,643.81,7.16,87.04
United States,1988,1.59,676.78,7.9,95.27
United States,1989,2.77,706.59,10.71,97.41
United States,1990,-0.36,769.77,1.22,98.28
United States,1991,3.25,763.61,3.37,94.23
United States,1992,3.95,767.73,1.2,102.99
United States,1993,1.19,870.61,4.17,114.73
United States,1994,-0.7,890.9,4.71,120.93
United States,1995,0.22,922.83,5.33,121.97
United States,1996,0.83,952.18,5.67,115
United States,1997,4.36,961.26,4.85,126.19
United States,1998,2.51,1010.95,4.82,124.89
United States,1999,0.64,1075.15,4.36,133.87
United States,2000,3.33,1100.38,4.05,134.53
United States,2001,-0.77,1106.62,2.79,151.37
United States,2002,2.13,1181.96,7.34,148.18
United States,2003,4.17,1220.73,2.81,162.84
United States,2004,1.99,1237.31,6.55,148.16
United States,2005,4.46,1274.67,5.41,157.32
United States,2006,5.19,1338.18,7.05,170.89
United States,2007,0.75,1352.9,5.1,167.48
United States,2008,0.77,1404.4,1.71,185.15
United States,2009,1.13,1414.1,2.92,174.95
United States,2010,3.29,1479.59,2.25,173.19
United States,2011,3.75,1483.49,-0.02,186.21
United States,2012,4.31,1538.35,0.78,189.93
United States,2013,4.45,1548.1,-0.34,194.21
United States,2014,4.11,1568.46,2.28,194.29
United States,2015,3.91,1645.03,0.63,201.32
United States,2016,2.75,1705.92,1.49,206.33
United States,2017,1.17,1688.48,2.11,209.89
United States,2018,1.41,1759.38,1.37,212.23
United States,2019,3.11,1760.26,0.65,226.09
United States,2020,5.03,1818.47,1.62,221.53
United States,2021,5.06,1815.22,0.17,234.66
United States,2022,-0.39,1875.51,3.87,226.5
United States,2023,1.25,1889.73,-1,241.2
Japan,1973,4.57,63.08,7.85,17.64
Japan,1974,5.05,90.95,6.45,25.21
Japan,1975,5.41,105.43,9.19,31.59
Japan,1976,5.67,121.15,10.66,26.47
Japan,1977,7.74,141.05,6.8,35.74
Japan,1978,3.33,154.24,8.11,37.49
Japan,1979,7.21,177.91,6.94,35.8
Japan,1980,6.01,195.95,7.84,47.68
Japan,1981,2.68,212.64,8.32,36.62
Japan,1982,4.58,230.99,7.8,59.27
Japan,1983,4.06,243.46,7.29,60.65
Japan,1984,3.6,271.68,7.06,57.58
Japan,1985,2.69,277.57,8.07,59.22
Japan,1986,4.26,314.14,7.6,67.44
Japan,1987,4.35,329.12,6.91,66.53
Japan,1988,4.51,341.6,8.75,71.1
Japan,1989,1.91,350.24,8.81,76.16
Japan,1990,5.66,377.13,3.54,78.38
Japan,1991,6.12,384.68,4.2,90.29
Japan,1992,0.04,409.65,5.42,83.8
Japan,1993,1.78,432.95,6.29,84.77
Japan,1994,1.76,451.2,3.63,86.9
Japan,1995,-0.73,465.16,3.47,92.93
Japan,1996,1.88,481.81,4.31,94.22
Japan,1997,-0.77,502.32,5.81,107.34
Japan,1998,0.95,511.04,4.17,106.79
Japan,1999,0.61,535.12,4.29,108.73
Japan,2000,0.87,564.06,5.18,113.34
Japan,2001,2.1,564.31,5.11,111.18
Japan,2002,-0.26,599.15,5.63,131.71
Japan,2003,0.73,611.64,1.07,127.13
Japan,2004,3.55,625.2,2.23,130.18
Japan,2005,-0.48,656.19,2.23,131.16
Japan,2006,0.37,662.8,4.57,133.94
Japan,2007,0.96,690.47,1.96,140.41
Japan,2008,1.2,699.12,1.04,142.13
Japan,2009,0.47,719.77,0.29,147.39
Japan,2010,0.73,732.13,2.54,144.38
Japan,2011,2.08,748.36,1.43,156.28
Japan,2012,0.82,761,1.48,145.68
Japan,2013,1.25,785.89,2.12,165.92
Japan,2014,1.37,810.64,1.92,160.12
Japan,2015,1.41,819.49,1.17,164.51
Japan,2016,1.49,837.2,0.37,166.57
Japan,2017,1.05,858.81,2.68,166.23
Japan,2018,0.29,879.8,-0.21,171.66
Japan,2019,0.94,894.53,2.88,184.81
Japan,2020,0.04,921.06,0.96,191.42
Japan,2021,1.09,934.46,3.58,178.94
Japan,2022,0.65,950.82,1.3,189.32
Japan,2023,0.88,963.49,0.95,187.99
