country,region,year,rd_spending_bln,patents_filed,high_tech_exports_bln,researchers_per_1k,manufacturing_growth
UK,Europe,2014,50.5,25000,68.4,8.1,2.5
UK,Europe,2015,52.8,26000,70.1,8.3,1.5
UK,Europe,2016,55.1,27000,72.5,8.4,1.8
UK,Europe,2017,58.2,28000,75.2,8.6,2.1
UK,Europe,2018,61.5,29000,78.5,8.8,1.2
UK,Europe,2019,64.2,30000,79.1,9.0,1.0
UK,Europe,2020,66.5,29500,70.5,9.2,-8.5
UK,Europe,2021,70.1,32000,75.2,9.4,6.5
UK,Europe,2022,73.5,33000,78.1,9.6,1.5
UK,Europe,2023,76.0,34000,80.0,9.8,0.5
France,Europe,2009,45.5,18000,85.2,8.1,-5.5
France,Europe,2010,47.2,19000,92.5,8.2,2.5
France,Europe,2011,49.5,19500,98.1,8.3,1.8
France,Europe,2012,51.2,20000,102.5,8.4,0.5
France,Europe,2013,53.5,21000,105.2,8.6,0.8
France,Europe,2014,56.1,21500,108.4,8.8,1.2
France,Europe,2015,58.5,22000,110.1,9.0,1.5
France,Europe,2016,61.2,23000,112.5,9.1,1.1
France,Europe,2017,64.5,24000,118.2,9.3,2.5
France,Europe,2018,67.8,25000,122.5,9.5,1.5
France,Europe,2019,70.1,26000,125.1,9.7,1.2
France,Europe,2020,72.5,25500,110.5,9.9,-7.5
France,Europe,2021,76.2,27000,120.2,10.1,5.5
France,Europe,2022,80.1,28000,125.5,10.3,1.8
France,Europe,2023,83.0,29000,130.0,10.5,1.0
India,Asia,2009,25.5,10000,12.5,0.8,6.5
India,Asia,2010,28.2,12000,15.2,0.9,8.2
India,Asia,2011,32.5,14000,18.5,1.0,7.5
India,Asia,2012,36.1,16000,21.2,1.2,6.1
India,Asia,2013,40.5,18000,25.5,1.4,5.8
India,Asia,2014,45.2,22000,30.1,1.6,6.5
India,Asia,2015,50.8,26000,35.2,1.8,7.2
India,Asia,2016,56.5,30000,40.5,2.1,7.5
India,Asia,2017,63.2,35000,46.2,2.3,6.8
India,Asia,2018,70.5,40000,52.5,2.6,6.2
India,Asia,2019,78.1,45000,58.1,2.9,5.5
India,Asia,2020,82.5,48000,55.2,3.2,-1.5
India,Asia,2021,95.5,55000,65.5,3.6,8.5
India,Asia,2022,105.2,62000,72.1,4.0,6.5
India,Asia,2023,115.0,70000,80.0,4.4,7.0
